# Time[s], Head[m]
67080,1.84E-01
67140,1.90E-01
67200,1.95E-01
67260,2.01E-01
67320,2.06E-01
67380,2.12E-01
67440,2.17E-01
67500,2.23E-01
67560,2.28E-01
67620,2.34E-01
67680,2.39E-01
67740,2.45E-01
67800,2.51E-01
67860,2.56E-01
67920,2.62E-01
67980,2.65E-01
68040,2.66E-01
68100,2.66E-01
68160,2.67E-01
68220,2.67E-01
68280,2.67E-01
68340,2.67E-01
68400,2.67E-01
68460,2.67E-01
68520,2.67E-01
68580,2.67E-01
68640,2.67E-01
68700,2.67E-01
68760,2.67E-01
68820,2.67E-01
68880,2.67E-01
68940,2.67E-01
69000,2.67E-01
69060,2.67E-01
69120,2.67E-01
69180,2.67E-01
69240,2.67E-01
69300,2.67E-01
69360,2.64E-01
69420,2.60E-01
69480,2.58E-01
69540,2.56E-01
69600,2.53E-01
69660,2.51E-01
69720,2.49E-01
69780,2.48E-01
69840,2.45E-01
69900,2.43E-01
69960,2.41E-01
70020,2.39E-01
70080,2.37E-01
70140,2.35E-01
70200,2.34E-01
70260,2.31E-01
70320,2.29E-01
70380,2.27E-01
70440,2.25E-01
70500,2.23E-01
70560,2.21E-01
70620,2.19E-01
70680,2.17E-01
70740,2.15E-01
70800,2.13E-01
70860,2.12E-01
70920,2.10E-01
70980,2.08E-01
71040,2.06E-01
71100,2.04E-01
71160,2.02E-01
71220,2.01E-01
71280,1.99E-01
71340,1.97E-01
71400,1.95E-01
71460,1.93E-01
71520,1.91E-01
71580,1.90E-01
71640,1.88E-01
71700,1.86E-01
71760,1.84E-01
71820,1.81E-01
71880,1.79E-01
71940,1.77E-01
72000,1.76E-01
72060,1.74E-01
72120,1.72E-01
72180,1.70E-01
72240,1.68E-01
72300,1.66E-01
72360,1.64E-01
72420,1.62E-01
72480,1.60E-01
72540,1.59E-01
72600,1.57E-01
72660,1.55E-01
72720,1.53E-01
72780,1.51E-01
72840,1.50E-01
72900,1.48E-01
72960,1.46E-01
73020,1.44E-01
73080,1.43E-01
73140,1.41E-01
73200,1.39E-01
73260,1.37E-01
73320,1.35E-01
73380,1.33E-01
73440,1.32E-01
73500,1.30E-01
73560,1.28E-01
73620,1.26E-01
73680,1.24E-01
73740,1.22E-01
73800,1.20E-01
73860,1.18E-01
73920,1.16E-01
73980,1.14E-01
74040,1.12E-01
74100,1.10E-01
74160,1.08E-01
74220,1.06E-01
74280,1.03E-01
74340,1.01E-01
74400,9.89E-02
74460,9.68E-02
74520,9.48E-02
74580,9.22E-02
74640,8.61E-02
74700,4.57E-02
74760,2.96E-02
74820,1.68E-02
74880,1.00E-02
74940,5.30E-03
75000,5.00E-03
75060,5.00E-03
75120,5.00E-03
75180,5.00E-03
75240,5.00E-03
75300,5.00E-03
75360,5.00E-03
75420,5.00E-03
75480,5.00E-03
75540,5.00E-03
75600,5.00E-03
75660,5.00E-03
75720,5.00E-03
75780,5.00E-03
75840,5.00E-03
75900,5.00E-03
75960,5.00E-03
76020,5.00E-03
76080,5.00E-03
76140,5.00E-03
76200,5.00E-03
76260,5.00E-03
76320,5.00E-03
76380,5.00E-03
76440,5.00E-03
76500,5.00E-03
76560,5.00E-03
76620,5.00E-03
76680,5.00E-03
76740,5.00E-03
76800,5.00E-03
76860,5.00E-03
76920,5.00E-03
76980,5.10E-03
77040,5.10E-03
77100,5.30E-03
77160,5.30E-03
77220,5.50E-03
77280,5.20E-03
77340,5.10E-03
77400,5.10E-03
77460,5.20E-03
77520,5.10E-03
