R	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14
R186	-800	-370	-800	-370	-800	-370	-800	-370	-778.08	-370	-23.037	-370	-7.082	-370
R187	-800	-372	-800	-372	-800	-372	-800	-372	-799.797	-372	-23.934	-372	-7.378	-372
R188	-800	-374	-800	-374	-800	-374	-800	-374	-799.998	-374	-24.872	-374	-7.681	-374
R189	-800	-376	-800	-376	-800	-376	-800	-376	-800	-376	-25.856	-376	-7.991	-376
R190	-800	-378	-800	-378	-800	-378	-800	-378	-800	-378	-26.889	-378	-8.31	-378
R191	-800	-380	-800	-380	-800	-380	-800	-380	-800	-380	-27.974	-380	-8.637	-380
R192	-800	-382	-800	-382	-800	-382	-800	-382	-800	-382	-29.118	-382	-8.973	-382
R193	-800	-384	-800	-384	-800	-384	-800	-384	-800	-384	-30.323	-384	-9.317	-384
R194	-800	-386	-800	-386	-800	-386	-800	-386	-800	-386	-31.595	-386	-9.671	-386
R195	-800	-388	-800	-388	-800	-388	-800	-388	-800	-388	-32.942	-388	-10.035	-388
R196	-800	-390	-800	-390	-800	-390	-800	-390	-800	-390	-34.372	-390	-10.409	-390
R197	-800	-392	-800	-392	-800	-392	-800	-392	-800	-392	-35.894	-392	-10.794	-392
R198	-800	-394	-800	-394	-800	-394	-800	-394	-800	-394	-37.513	-394	-11.191	-394
R199	-800	-396	-800	-396	-800	-396	-800	-396	-800	-396	-39.242	-396	-11.599	-396
R200	-800	-398	-800	-398	-800	-398	-800	-398	-800	-398	-41.096	-398	-12.019	-398
R201	-800	-400	-800	-400	-800	-400	-800	-400	-800	-400	-43.097	-400	-12.452	-400
R202	-800	-402	-800	-402	-800	-402	-800	-402	-800	-402	-45.257	-402	-12.899	-402
R203	-800	-404	-800	-404	-800	-404	-800	-404	-800	-404	-47.591	-404	-13.36	-404
R204	-800	-406	-800	-406	-800	-406	-800	-406	-800	-406	-50.133	-406	-13.836	-406
R205	-800	-408	-800	-408	-800	-408	-800	-408	-800	-408	-52.932	-408	-14.327	-408
R206	-800	-410	-800	-410	-800	-410	-800	-410	-800	-410	-56.023	-410	-14.835	-410
R207	-800	-412	-800	-412	-800	-412	-800	-412	-800	-412	-59.438	-412	-15.361	-412
R208	-800	-414	-800	-414	-800	-414	-800	-414	-800	-414	-63.27	-414	-15.904	-414
R209	-800	-416	-800	-416	-800	-416	-800	-416	-800	-416	-67.639	-416	-16.467	-416
R210	-800	-418	-800	-418	-800	-418	-800	-418	-800	-418	-72.627	-418	-17.051	-418
R211	-800	-420	-800	-420	-800	-420	-800	-420	-800	-420	-78.446	-420	-17.656	-420
R212	-800	-422	-800	-422	-800	-422	-800	-422	-800	-422	-85.406	-422	-18.284	-422
R213	-800	-424	-800	-424	-800	-424	-800	-424	-800	-424	-93.869	-424	-18.936	-424
R214	-800	-426	-800	-426	-800	-426	-800	-426	-800	-426	-104.608	-426	-19.613	-426
R215	-800	-428	-800	-428	-800	-428	-800	-428	-800	-428	-119.162	-428	-20.318	-428
R216	-800	-430	-800	-430	-800	-430	-800	-430	-800	-430	-140.276	-430	-21.052	-430
R217	-800	-432	-800	-432	-800	-432	-800	-432	-800	-432	-174.582	-432	-21.816	-432
R218	-800	-434	-800	-434	-800	-434	-800	-434	-800	-434	-242.777	-434	-22.614	-434
R219	-800	-436	-800	-436	-800	-436	-800	-436	-800	-436	-418.193	-436	-23.447	-436
R220	-800	-438	-800	-438	-800	-438	-800	-438	-800	-438	-750.849	-438	-24.318	-438
R221	-800	-440	-800	-440	-800	-440	-800	-440	-800	-440	-799.466	-440	-25.228	-440
R222	-800	-442	-800	-442	-800	-442	-800	-442	-800	-442	-799.995	-442	-26.183	-442
R223	-800	-444	-800	-444	-800	-444	-800	-444	-800	-444	-800	-444	-27.184	-444
R224	-800	-446	-800	-446	-800	-446	-800	-446	-800	-446	-800	-446	-28.237	-446
R225	-800	-448	-800	-448	-800	-448	-800	-448	-800	-448	-800	-448	-29.345	-448
R226	-800	-450	-800	-450	-800	-450	-800	-450	-800	-450	-800	-450	-30.512	-450
R227	-800	-452	-800	-452	-800	-452	-800	-452	-800	-452	-800	-452	-31.743	-452
R228	-800	-454	-800	-454	-800	-454	-800	-454	-800	-454	-800	-454	-33.045	-454
